,phase,sim_time,real_time,sim_en,real_en
117,"[(3401000.0, 2.0), (800000.0, 2.0)]",3.1373798847198486,2.86,23.650501081876754,26.435296
118,"[(3401000.0, 2.0), (800000.0, 3.0)]",3.7404580116271973,3.2359999999999998,23.140582850649352,28.04009
119,"[(3401000.0, 2.0), (800000.0, 4.0)]",2.9557416439056396,3.22,21.640668233072752,27.687795
120,"[(3401000.0, 2.0), (600000.0, 1.0)]",4.187096357345581,2.604,26.237923308312887,31.406353
121,"[(3401000.0, 2.0), (600000.0, 2.0)]",3.342522621154785,2.827,24.403500630369184,26.618705
122,"[(3401000.0, 2.0), (600000.0, 3.0)]",3.883439302444458,3.249,23.280515752453802,28.666614000000003
123,"[(3401000.0, 2.0), (600000.0, 4.0)]",3.0800416469573975,3.121,22.206483449885845,27.378714
124,"[(3401000.0, 2.0), (400000.0, 1.0)]",4.10475754737854,2.548,26.432763140492437,31.469585000000002
125,"[(3401000.0, 2.0), (400000.0, 2.0)]",3.2635951042175293,2.924,23.758269847395418,26.591729
126,"[(3401000.0, 2.0), (400000.0, 3.0)]",3.7503671646118164,3.238,23.124022251520156,27.998951999999996
127,"[(3401000.0, 2.0), (400000.0, 4.0)]",2.9136617183685303,2.906,22.29072453325987,26.630974000000002
128,"[(3401000.0, 3.0), (3401000.0, 1.0)]",2.528960704803467,2.2750000000000004,38.00858551059484,30.771222
129,"[(3401000.0, 3.0), (3401000.0, 2.0)]",2.033062696456909,1.87,35.02807749902725,30.672406
130,"[(3401000.0, 3.0), (3401000.0, 3.0)]",2.2058563232421875,1.907,35.31468446523904,33.456762999999995
131,"[(3401000.0, 3.0), (3401000.0, 4.0)]",2.037134885787964,1.837,31.72779517189264,32.268473
132,"[(3401000.0, 3.0), (3400000.0, 1.0)]",2.8632287979125977,2.25,32.2821577169013,32.564979
133,"[(3401000.0, 3.0), (3400000.0, 2.0)]",2.2058043479919434,1.729,30.599609128172393,30.635054000000004
134,"[(3401000.0, 3.0), (3400000.0, 3.0)]",2.4927711486816406,1.913,31.839255258553028,33.192479999999996
135,"[(3401000.0, 3.0), (3400000.0, 4.0)]",2.1097145080566406,2.1029999999999998,30.27179085387945,29.001939
136,"[(3401000.0, 3.0), (3300000.0, 1.0)]",2.747392177581787,2.29,32.06827052005529,31.109295000000003
137,"[(3401000.0, 3.0), (3300000.0, 2.0)]",2.2058725357055664,1.8090000000000002,30.195615381124018,29.309495
138,"[(3401000.0, 3.0), (3300000.0, 3.0)]",2.399461507797241,1.929,30.226860898919107,30.851605
139,"[(3401000.0, 3.0), (3300000.0, 4.0)]",2.0127835273742676,2.024,28.697703084478377,27.828909
140,"[(3401000.0, 3.0), (3100000.0, 1.0)]",2.861362934112549,2.3200000000000003,31.586433382918834,30.759076
141,"[(3401000.0, 3.0), (3100000.0, 2.0)]",2.205861806869507,1.971,29.41545290783882,31.182354
142,"[(3401000.0, 3.0), (3100000.0, 3.0)]",2.3807342052459717,1.9,29.179458614194388,26.356561
143,"[(3401000.0, 3.0), (3100000.0, 4.0)]",2.1085355281829834,2.033,28.091663388466834,28.300403000000003
