name,frequency,input,cores,speedup,ipmi_energy,parallel_frac
completo_black_2,1.5,3.0,32.0,12.535112310263425,3.417041222333908,0.9499087373648323
completo_black_2,1.5,4.0,1.0,1.0,67.77021864895573,
completo_black_2,1.5,4.0,2.0,1.9289584497453265,35.754347953948105,0.9631710313594091
completo_black_2,1.5,4.0,4.0,3.5107249337357187,19.964068712095422,0.9535447259944639
completo_black_2,1.5,4.0,6.0,4.738072465880743,15.08787820392185,0.946732451088222
completo_black_2,1.5,4.0,8.0,5.8262517886630585,12.492949820140312,0.9467006456249158
completo_black_2,1.5,4.0,10.0,6.833717238921471,11.15674446158409,0.9485186197532931
completo_black_2,1.5,4.0,12.0,7.739419012486754,9.679500129439614,0.9499541834219758
completo_black_2,1.5,4.0,14.0,8.482397883411183,9.082103306472302,0.9499633313740985
completo_black_2,1.5,4.0,16.0,8.92538337330131,8.631826381281803,0.9471573277336849
completo_black_2,1.5,4.0,18.0,9.420048629893033,8.449817380428314,0.9464224611145421
completo_black_2,1.5,4.0,20.0,9.919540574580585,8.102675875088748,0.9465146100179002
